종가_등락률,거래량_등락률,고가-종가_비율,종가-저가_비율,연속상승,연속하락,RSI,target
-0.18,35.05,1.07,1.62,0,0,11.9,1
0.36,-11.19,1.07,0.54,0,0,12.94,0
-2.3,-22.98,1.6,0.0,0,1,13.1,1
-2.58,37.48,1.74,0.35,0,0,27.91,0
0.35,57.88,0.51,0.34,0,0,34.74,0
-0.34,-31.26,0.34,0.35,0,1,33.33,1
-1.69,-8.31,0.51,0.69,0,0,35.79,0
1.9,3.51,0.0,1.69,0,0,43.14,0
-1.02,11.55,1.86,0.0,0,1,38.94,1
-1.51,20.64,0.85,0.17,0,0,42.37,0
0.0,-40.95,0.67,0.67,0,0,45.16,0
0.34,49.54,0.0,2.02,0,0,52.34,0
-1.98,6.2,1.5,0.0,0,0,55.45,1
1.34,-9.22,0.17,1.16,1,0,62.39,0
0.34,0.05,1.0,0.5,0,0,73.12,1
-1.49,-14.18,0.83,0.17,0,0,71.28,1
2.03,-18.92,0.33,1.82,1,0,75.25,0
0.51,7.32,0.0,1.01,0,0,63.0,1
-0.51,-12.87,1.17,0.68,0,1,54.55,1
-1.82,0.88,1.5,0.0,0,1,57.3,0
-0.17,-10.2,1.31,0.5,0,1,61.22,0
-3.51,-7.82,3.36,0.0,0,0,57.3,0
0.64,-15.87,0.95,0.48,1,0,73.0,0
2.64,181.84,0.0,3.22,1,0,68.37,1
0.83,-18.34,0.0,1.32,0,0,55.24,1
-1.48,28.62,0.66,0.5,0,1,52.73,1
-0.65,-17.81,1.13,0.33,0,0,57.26,0
0.66,-7.3,0.49,0.81,1,0,54.13,0
0.66,-6.87,0.49,0.49,0,0,56.19,1
-1.3,0.35,0.98,0.5,0,1,55.14,1
-0.65,-23.36,0.65,0.98,0,0,54.72,0
0.65,-7.98,0.96,0.65,0,0,63.27,0
-2.07,3.01,0.97,0.16,0,0,62.63,1
0.48,4.86,0.0,1.59,1,0,66.06,0
0.81,-22.93,0.16,1.28,0,0,60.4,1
-1.59,-20.28,1.59,0.32,0,0,57.14,1
4.14,-4.98,0.47,0.95,0,0,51.61,0
-2.58,50.14,1.79,0.0,0,0,42.11,1
0.32,-23.14,0.32,1.13,1,0,56.14,0
2.66,46.93,0.16,2.1,1,0,57.66,1
1.35,-0.07,0.17,1.33,1,0,46.61,1
0.34,-28.85,0.17,1.68,0,0,41.8,1
-0.67,32.49,1.0,1.86,0,1,42.5,1
